STUSPS,VACCINE_SENTIMENT
AL,0.39823008849557523
AR,0.4272300469483568
AZ,0.3722943722943723
CA,0.33181818181818185
CO,0.32558139534883723
CT,0.3476190476190476
DE,0.2727272727272727
FL,0.4838709677419355
GA,0.45454545454545453
IA,0.3308270676691729
ID,0.3121951219512195
IL,0.3568075117370892
IN,0.38613861386138615
KS,0.6136363636363636
KY,0.35514018691588783
LA,0.3
MA,0.37272727272727274
MD,0.5529411764705883
ME,0.2897196261682243
MI,0.26605504587155965
MN,0.32575757575757575
MO,0.3130434782608696
MS,0.3577981651376147
MT,0.36036036036036034
NC,0.3148148148148148
ND,0.33613445378151263
NE,0.5578947368421052
NH,0.41228070175438597
NJ,0.4215686274509804
NM,0.3978494623655914
NV,0.4056603773584906
NY,0.4845360824742268
OH,0.36363636363636365
OK,0.43333333333333335
OR,0.291044776119403
PA,0.3360655737704918
RI,0.4083333333333333
SC,0.3652173913043478
SD,0.4142857142857143
TN,0.3854166666666667
TX,0.3655913978494624
UT,0.2982456140350877
VA,0.47959183673469385
VT,0.43636363636363634
WA,0.4666666666666667
WI,0.574468085106383
WV,0.25547445255474455
WY,0.1836734693877551
