id,raw_text,clean_text,tokens,stemmed_tokens,lemmatized_tokens
1466200869192572934,Fun first quarter to watch between @WVUWBB and (16) Kentucky.  Back and forth.   WVU leads 17-16 after the 1st Q   #WVU #HailWV,Fun first quarter to watch between  and 16 Kentucky  Back and forth   WVU leads 1716 after the 1st Q   WVU HailWV,"['fun', 'first', 'quarter', 'watch', 'kentucky', 'back', 'forth', 'wvu', 'leads', '1716', '1st', 'wvu', 'hailwv']","['fun', 'first', 'quarter', 'watch', 'kentucki', 'back', 'forth', 'wvu', 'lead', '1716', '1st', 'wvu', 'hailwv']","['fun', 'first', 'quarter', 'watch', 'kentucky', 'back', 'forth', 'wvu', 'lead', '1716', '1st', 'wvu', 'hailwv']"
1466199030879465480,RT @ColemanJabree: Blessed to say I received an offer from West Virginia University !!! #GoMountaineers #WVU @TepFootball https://t.co/TCsz…,RT olemanJabree Blessed to say I received an offer from West Virginia University  GoMountaineers WVU epFootball ,"['olemanjabree', 'blessed', 'say', 'received', 'offer', 'west', 'virginia', 'university', 'gomountaineers', 'wvu', 'epfootball']","['olemanjabre', 'bless', 'say', 'receiv', 'offer', 'west', 'virginia', 'univers', 'gomountain', 'wvu', 'epfootbal']","['olemanjabree', 'bless', 'say', 'receive', 'offer', 'west', 'virginia', 'university', 'gomountaineers', 'wvu', 'epfootball']"
1466198105787883520,"RT @Callihan_: Recently offered JUCO WR is set to visit #WVU. He led all of JUCO with 1,667 all-purpose yards.  @SIAllAmerican https://t.co…",RT llihan Recently offered JUCO WR is set to visit WVU He led all of JUCO with 1667 allpurpose yards  llAmerican ,"['llihan', 'recently', 'offered', 'juco', 'set', 'visit', 'wvu', 'led', 'juco', '1667', 'allpurpose', 'yards', 'llamerican']","['llihan', 'recent', 'offer', 'juco', 'set', 'visit', 'wvu', 'led', 'juco', '1667', 'allpurpos', 'yard', 'llamerican']","['llihan', 'recently', 'offer', 'juco', 'set', 'visit', 'wvu', 'lead', 'juco', '1667', 'allpurpose', 'yard', 'llamerican']"
1466197349689180163,West Virginia wins the jump ball tonight over Kentucky before the Wildcat’s score the first points. Rhyne Howard hi… https://t.co/zs4oAVyOuO,West Virginia wins the jump ball tonight over Kentucky before the Wildcats score the first points Rhyne Howard hi ,"['west', 'virginia', 'wins', 'jump', 'ball', 'tonight', 'kentucky', 'wildcats', 'score', 'first', 'points', 'rhyne', 'howard']","['west', 'virginia', 'win', 'jump', 'ball', 'tonight', 'kentucki', 'wildcat', 'score', 'first', 'point', 'rhyne', 'howard']","['west', 'virginia', 'win', 'jump', 'ball', 'tonight', 'kentucky', 'wildcat', 'score', 'first', 'point', 'rhyne', 'howard']"
1466196452624015369,#WVU women’s basketball team in action against No. 16 Kentucky.   @WVUWBB #HailWV https://t.co/0O1CAY9lSK,WVU womens basketball team in action against No 16 Kentucky    HailWV ,"['wvu', 'womens', 'basketball', 'team', 'action', 'kentucky', 'hailwv']","['wvu', 'women', 'basketbal', 'team', 'action', 'kentucki', 'hailwv']","['wvu', 'womens', 'basketball', 'team', 'action', 'kentucky', 'hailwv']"
1466195667303469062,RT @ColemanJabree: Blessed to say I received an offer from West Virginia University !!! #GoMountaineers #WVU @TepFootball https://t.co/TCsz…,RT olemanJabree Blessed to say I received an offer from West Virginia University  GoMountaineers WVU epFootball ,"['olemanjabree', 'blessed', 'say', 'received', 'offer', 'west', 'virginia', 'university', 'gomountaineers', 'wvu', 'epfootball']","['olemanjabre', 'bless', 'say', 'receiv', 'offer', 'west', 'virginia', 'univers', 'gomountain', 'wvu', 'epfootbal']","['olemanjabree', 'bless', 'say', 'receive', 'offer', 'west', 'virginia', 'university', 'gomountaineers', 'wvu', 'epfootball']"
1466192459428417537,"RT @Callihan_: Recently offered JUCO WR is set to visit #WVU. He led all of JUCO with 1,667 all-purpose yards.  @SIAllAmerican https://t.co…",RT llihan Recently offered JUCO WR is set to visit WVU He led all of JUCO with 1667 allpurpose yards  llAmerican ,"['llihan', 'recently', 'offered', 'juco', 'set', 'visit', 'wvu', 'led', 'juco', '1667', 'allpurpose', 'yards', 'llamerican']","['llihan', 'recent', 'offer', 'juco', 'set', 'visit', 'wvu', 'led', 'juco', '1667', 'allpurpos', 'yard', 'llamerican']","['llihan', 'recently', 'offer', 'juco', 'set', 'visit', 'wvu', 'lead', 'juco', '1667', 'allpurpose', 'yard', 'llamerican']"
1466191084321742857,I noticed that #WVU is playing at Oklahoma State on the last Saturday in November the week before Big 12 Championsh… https://t.co/ouwPaYJcAt,I noticed that WVU is playing at Oklahoma State on the last Saturday in November the week before Big 12 Championsh ,"['noticed', 'wvu', 'playing', 'oklahoma', 'state', 'last', 'saturday', 'november', 'week', 'big', 'championsh']","['notic', 'wvu', 'play', 'oklahoma', 'state', 'last', 'saturday', 'novemb', 'week', 'big', 'championsh']","['notice', 'wvu', 'play', 'oklahoma', 'state', 'last', 'saturday', 'november', 'week', 'big', 'championsh']"
1466190234161459203,"I really hope @nextlevel_03 and @deucemcb11 did a jersey swap after last night’s game in Brooklyn. If not, that was… https://t.co/13BNMTfxCw",I really hope nextlevel03 and deucemcb11 did a jersey swap after last nights game in Brooklyn If not that was ,"['really', 'hope', 'nextlevel', 'deucemcb', 'jersey', 'swap', 'last', 'nights', 'game', 'brooklyn']","['realli', 'hope', 'nextlevel', 'deucemcb', 'jersey', 'swap', 'last', 'night', 'game', 'brooklyn']","['really', 'hope', 'nextlevel', 'deucemcb', 'jersey', 'swap', 'last', 'night', 'game', 'brooklyn']"
1466188360485986308,"🚨New Podcast Alert🚨  Listen, like, and subscribe! #WVU #HailWV  iTunes: https://t.co/ahEKgeKQbV  Spotify:… https://t.co/XSSfkNikmg",New Podcast Alert  Listen like and subscribe WVU HailWV iTunes  Spotify ,"['new', 'podcast', 'alert', 'listen', 'like', 'subscribe', 'wvu', 'hailwv', 'itunes', 'spotify']","['new', 'podcast', 'alert', 'listen', 'like', 'subscrib', 'wvu', 'hailwv', 'itun', 'spotifi']","['new', 'podcast', 'alert', 'listen', 'like', 'subscribe', 'wvu', 'hailwv', 'itunes', 'spotify']"
