token,frequency
wvu,9
offer,4
juco,4
kentucky,3
lead,3
hailwv,3
west,3
virginia,3
first,2
olemanjabree,2
bless,2
say,2
receive,2
university,2
gomountaineers,2
epfootball,2
llihan,2
recently,2
set,2
visit,2
1667,2
allpurpose,2
yard,2
llamerican,2
last,2
fun,1
quarter,1
watch,1
back,1
forth,1
1716,1
1st,1
win,1
jump,1
ball,1
tonight,1
wildcat,1
score,1
point,1
rhyne,1
howard,1
womens,1
basketball,1
team,1
action,1
notice,1
play,1
oklahoma,1
state,1
saturday,1
november,1
week,1
big,1
championsh,1
really,1
hope,1
nextlevel,1
deucemcb,1
jersey,1
swap,1
night,1
game,1
brooklyn,1
new,1
podcast,1
alert,1
listen,1
like,1
subscribe,1
itunes,1
spotify,1
