id,clean_text,polarity,subjectivity
1466200869192572934,Fun first quarter to watch between  and 16 Kentucky  Back and forth   WVU leads 1716 after the 1st Q   WVU HailWV,0.183,0.178
1466199030879465480,RT olemanJabree Blessed to say I received an offer from West Virginia University  GoMountaineers WVU epFootball ,0.0,0.0
1466198105787883520,RT llihan Recently offered JUCO WR is set to visit WVU He led all of JUCO with 1667 allpurpose yards  llAmerican ,0.0,0.25
1466197349689180163,West Virginia wins the jump ball tonight over Kentucky before the Wildcats score the first points Rhyne Howard hi ,0.275,0.267
1466196452624015369,WVU womens basketball team in action against No 16 Kentucky    HailWV ,0.1,0.1
1466195667303469062,RT olemanJabree Blessed to say I received an offer from West Virginia University  GoMountaineers WVU epFootball ,0.0,0.0
1466192459428417537,RT llihan Recently offered JUCO WR is set to visit WVU He led all of JUCO with 1667 allpurpose yards  llAmerican ,0.0,0.25
1466191084321742857,I noticed that WVU is playing at Oklahoma State on the last Saturday in November the week before Big 12 Championsh ,0.0,0.083
1466190234161459203,I really hope nextlevel03 and deucemcb11 did a jersey swap after last nights game in Brooklyn If not that was ,-0.067,0.222
1466188360485986308,New Podcast Alert  Listen like and subscribe WVU HailWV iTunes  Spotify ,0.136,0.455
