id,text,author,datetime,retweets,likes
1465833969023430658,RT @SI_WVU: Don’t have ESPN+? Follow along in the link below. #WVU https://t.co/6Ad6qs913W,CodyMoyer113,12/01/2021 00:03:46,2,0
1465833684796387334,A Sean McNeil jumper gets #WVU on the board first.,JaredSerre,12/01/2021 00:02:38,0,1
1465833629146353668,We are underway at the #WVU Coliseum! Stop here for live updates:  #HailWV https://t.co/sNMTYDInx1,GoldAndBlueNtn,12/01/2021 00:02:25,0,0
1465833271288287234,It's that time. Predictions? #BGN #WVU,BlueGoldNews,12/01/2021 00:01:00,0,0
1465833129092997135,"RT @Carlos_2__: I am excited to announce that I have committed to The University of West Virginia. I would like to thank my family, coaches…",911650i,12/01/2021 00:00:26,15,0
1465832443928317962,"#WVU starters against Bellarmine: Johnson, Bridges, Sherman, Cottrell, and McNeil.",TyBraenovich,11/30/2021 23:57:43,0,0
1465831884718587913,RT @SI_WVU: Don’t have ESPN+? Follow along in the link below. #WVU https://t.co/6Ad6qs913W,Callihan_,11/30/2021 23:55:29,2,0
1465831850887335936,Don’t have ESPN+? Follow along in the link below. #WVU https://t.co/6Ad6qs913W,SI_WVU,11/30/2021 23:55:21,2,1
1465831617696604165,@CoachJesse18 @NealBrown_WVU @CoachJaxDL @BurtonAric @CAIKnightsFB 100% #MOUNTAINEER ❤️ 4 Aric Burton !!   ❤️#WVU🏈🇺🇸,mtownjoe,11/30/2021 23:54:26,0,0
1465831563543908367,RT @BlueGoldNews: Seny N’diaye dunks in #WVU pregame https://t.co/AodfXu063F,Wvu2000aca,11/30/2021 23:54:13,1,0
